Competitor;100m_dev;Long_Jump_dev;Shot_Put_dev;High_Jump_dev;400m_dev;Discus_Throw_dev;Pole_Vault_dev;Javelin_Throw_dev;1500m_dev
Jukka VÑkevÑinen;-0.588874292;-0.180125489;-0.741710804;0.33441059;0.706920667;-1.3506122;0.024357323;-6.862644422;1.247177964
Radek Bartakovic;-0.227577489;-1.0113887;-0.858134829;-1.034059351;0.619628706;-1.964960089;-0.949359767;-1.582891448;1.247177964
Nicklas Wiberg;-0.046929087;-0.158250141;-0.427365936;0.640947857;0.070936378;-7.666539617;-2.396411554;1.30232672;1.247177964
Grigoriy Degtyaryev;0.146622772;1.515213953;1.563484897;1.144544796;0.033525537;1.581012813;0.22721505;0.487792339;1.187202957
Aleksandr Nevskiy;0.378885003;0.191755421;0.783443927;1.144544796;0.806682909;0.837328526;0.22721505;1.802823749;1.187202957
Arthur Abele;0.572436862;1.023018631;1.02793438;0.137350919;0.719390947;0.212202605;0.22721505;0.742947687;1.187202957
Alain Blondel;-0.046929087;0.880828872;-0.12466347;0.235880754;0.532336745;0.621767864;1.687790685;0.477978672;1.187202957
Dezs? Szab¢;0.727278349;1.099582348;-0.159590678;0.640947857;0.993737111;0.115200306;0.842550155;0.330773663;1.187202957
Larbi Bourrada;0.572436862;0.749576786;-0.532147559;0.739477693;0.88150459;-0.499147582;0.632930504;1.066798706;1.187202957
Larbi Bourrada;0.572436862;0.749576786;-0.532147559;0.739477693;0.88150459;-0.499147582;0.632930504;1.066798706;1.187202957
Jeremy Taiwo;0.430498832;1.077707;0.003402958;1.867096925;0.90644515;0.201424571;0.632930504;-1.190344759;1.187202957
Dave Steen;-0.304998233;0.804265155;-1.009486062;1.451082063;1.330434676;-0.046470191;1.052169807;0.409283001;1.187202957
Nicklas Wiberg;0.095008943;0.935517241;0.131469386;1.560559658;0.657039547;-0.07880429;-0.760025889;1.223817382;1.187202957
Jack Rosendaal;-0.253384403;-0.387941292;0.073257373;0.936537365;-0.353053148;0.09364424;0.632930504;0.958848367;1.187202957
Kevin MaIer;-0.666295036;0.454259593;0.282820618;1.04601496;-0.066236704;-0.660818079;0.632930504;0.016736312;1.187202957
Fedir Laukhin;0.030491657;0.47613494;-0.893062037;0.936537365;-0.016355583;-0.574593814;0.842550155;0.203195989;1.187202957
S†ndor Munk†csi;-0.111446373;1.296460477;-0.660213986;-0.35529826;0.844093749;-0.057248224;0.22721505;-0.071586693;1.187202957
Nicklas Wiberg;-0.111446373;-0.573881747;-0.287657106;1.659089494;0.332812262;0.09364424;-1.138693646;1.989283427;1.187202957
Kevin MaIer;-0.356612062;0.454259593;-1.067698075;0.432940426;0.681980107;-0.80093251;0.632930504;0.527047008;1.187202957
Phil McMullen;-0.472743177;-0.464505009;0.352675034;-0.059708753;0.19563918;0.686436063;0.632930504;-0.258046371;1.187202957
Sten Ekberg;0.095008943;-0.311377575;-0.287657106;0.936537365;0.20810946;0.373873102;-0.17173848;0.065804648;1.187202957
Jeremy Taiwo;0.353078088;-0.803572897;-0.345869118;1.144544796;0.89397487;-0.585371847;0.024357323;-0.7585434;1.187202957
Pierre-Alexandre Vial;1.411161584;0.290194485;-0.823207622;-1.406283175;0.844093749;0.352317035;0.125786186;-0.660406728;1.187202957
Phil McMullen;-1.182433327;-1.766088193;0.480741461;-0.256768425;-0.091177264;1.893575774;0.862835928;-0.454319716;1.187202957
Joe Detmer;0.546629947;0.47613494;-1.451897358;-0.552357932;1.480078038;-0.585371847;0.125786186;-0.58189739;1.187202957
Jonas Fringeli;0.056298571;-0.95670033;-0.893062037;0.432940426;0.669509827;-0.520703649;0.430072777;-0.591711057;1.187202957
Quentin Jammier;-1.182433327;-0.409816639;0.10818458;0.531470262;0.145758059;-1.501504664;0.024357323;0.379841999;1.187202957
Akihiko Nakamura;1.075671695;0.804265155;-1.999090277;0.33441059;0.769272068;-2.309857149;-0.563930086;-0.58189739;1.187202957
Leonid Litvinenko;-0.666295036;-0.387941292;-0.322584313;-0.749417603;0.19563918;0.12597834;-0.949359767;0.870525361;1.187202957
Lars Warming;-0.188867117;-0.541068725;-0.974558855;-0.35529826;0.89397487;-0.348255118;0.22721505;-1.700655455;1.187202957
Gaâl QuÇrin;0.146622772;-0.595757094;-0.764995609;-0.35529826;0.008584977;-0.790154477;-0.17173848;-1.033326083;1.187202957
Carlos O'Connell;0.172429686;0.10425403;-1.719672617;-1.121641428;0.307871701;-1.641619095;-0.563930086;-0.797798069;1.187202957
Johannes KÅnz;-1.079205669;-1.339518914;-0.415723533;-1.121641428;0.095876938;-0.348255118;-0.563930086;-1.357177102;1.187202957
Pierre Sprecher;-2.421165225;-2.323909558;-1.300546126;-3.376879891;-0.614929032;-1.285944001;-2.734507766;-0.110841362;1.187202957
Cornelius Rotich;-3.492152178;-3.5598667;-2.266865536;-1.877036835;-1.600081166;-0.035692157;-5.317562824;-1.739910124;1.187202957
Hans van Alphen;0.404691917;1.208959086;0.911510355;0.936537365;0.158228339;0.707992129;0.761407064;0.998103035;1.127227949
Aleksandr Nevskiy;0.430498832;0.47613494;0.74851672;1.144544796;0.307871701;0.84810656;0.024357323;1.596736737;1.127227949
Attila Zsiv¢czky-Pandel;-0.253384403;0.377695876;0.667019902;2.294059547;0.856564029;0.707992129;0.430072777;0.477978672;1.127227949
Dave Steen;0.262753887;1.646466039;-0.427365936;0.235880754;1.255612995;0.12597834;1.052169807;0.389655667;1.127227949
Larbi Bourrada;1.436968499;2.094910666;-0.799922817;0.936537365;0.956326271;-0.42370135;0.22721505;0.09524565;1.127227949
Alain Blondel;0.378885003;0.880828872;-0.345869118;0.235880754;1.243142715;-0.175806588;0.842550155;-0.356183043;1.127227949
Romain Barras;-0.666295036;-0.442629661;0.655377499;0.137350919;0.681980107;0.686436063;0.632930504;0.880339029;1.127227949
Hans van Alphen;-0.640488122;0.191755421;0.969722368;0.038821083;0.108347219;0.84810656;0.632930504;0.860711694;1.127227949
Philipp Huber;0.288560802;0.399571223;0.166396593;-0.83699968;0.594688146;0.513987532;0.943979019;0.301332662;1.127227949
FrÇdÇric Xhonneux;-0.88565381;0.432384245;0.597165487;-0.158238589;0.133287779;0.686436063;0.741121292;0.90978003;1.127227949
Dennis Leyckes;0.172429686;0.24644379;-0.962916452;-0.552357932;1.081029073;0.276870803;0.632930504;0.821457025;1.127227949
Ashton Eaton;1.436968499;0.858953524;-1.1841221;-0.059708753;1.642191681;-0.563815781;1.052169807;-1.474941108;1.127227949
Hans van Alphen;-0.279191318;0.24644379;0.806728732;-0.749417603;0.22057974;1.19300362;0.328643913;0.154127653;1.127227949
Mateo Sossah;-0.588874292;0.344882854;-0.229445093;1.144544796;0.370223102;0.039754074;0.024357323;0.222823324;1.127227949
Indrek Kaseorg;-0.692101951;-0.026998056;-0.334226716;1.451082063;0.719390947;-0.42370135;0.22721505;-0.140282364;1.127227949
