since_timestamp_local_tz,UniqueHosts,LocationID
2020-03-31,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-01,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-02,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-03,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-04,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-05,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-06,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-07,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-08,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-09,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-10,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-11,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-12,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-13,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-14,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-15,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-16,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-17,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-18,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-19,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-20,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-21,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-22,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-23,6,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-24,3,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-25,0,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
2020-04-26,46,Universe:APAC:CN-China:CNSH1-Shanghai Qiantan
