Date,Count,location,Weekday,GEO
2020-06-12,358,"Shanghai, China",Friday,CHN
2020-06-15,471,"Shanghai, China",Monday,CHN
2020-06-16,516,"Shanghai, China",Tuesday,CHN
2020-06-17,517,"Shanghai, China",Wednesday,CHN
2020-06-18,477,"Shanghai, China",Thursday,CHN
2020-06-19,379,"Shanghai, China",Friday,CHN
2020-06-22,498,"Shanghai, China",Monday,CHN
2020-06-23,527,"Shanghai, China",Tuesday,CHN
2020-06-24,434,"Shanghai, China",Wednesday,CHN
2020-06-25,2,"Shanghai, China",Thursday,CHN
2020-06-26,4,"Shanghai, China",Friday,CHN
2020-06-29,495,"Shanghai, China",Monday,CHN
2020-06-30,543,"Shanghai, China",Tuesday,CHN
2020-07-01,525,"Shanghai, China",Wednesday,CHN
2020-07-02,473,"Shanghai, China",Thursday,CHN
2020-07-03,360,"Shanghai, China",Friday,CHN
2020-07-06,457,"Shanghai, China",Monday,CHN
2020-07-07,469,"Shanghai, China",Tuesday,CHN
2020-07-08,502,"Shanghai, China",Wednesday,CHN
2020-07-09,76,"Shanghai, China",Thursday,CHN
2020-07-10,47,"Shanghai, China",Friday,CHN
2020-07-13,475,"Shanghai, China",Monday,CHN
2020-07-14,495,"Shanghai, China",Tuesday,CHN
2020-07-15,439,"Shanghai, China",Wednesday,CHN
2020-07-16,421,"Shanghai, China",Thursday,CHN
2020-07-17,353,"Shanghai, China",Friday,CHN
2020-07-20,512,"Shanghai, China",Monday,CHN
2020-07-21,526,"Shanghai, China",Tuesday,CHN
2020-07-22,513,"Shanghai, China",Wednesday,CHN
2020-07-23,492,"Shanghai, China",Thursday,CHN
2020-07-24,184,"Shanghai, China",Friday,CHN
2020-07-27,487,"Shanghai, China",Monday,CHN
2020-07-28,441,"Shanghai, China",Tuesday,CHN
2020-07-29,428,"Shanghai, China",Wednesday,CHN
2020-07-30,416,"Shanghai, China",Thursday,CHN
2020-07-31,339,"Shanghai, China",Friday,CHN
2020-08-03,505,"Shanghai, China",Monday,CHN
2020-08-04,462,"Shanghai, China",Tuesday,CHN
2020-08-05,403,"Shanghai, China",Wednesday,CHN
2020-08-06,425,"Shanghai, China",Thursday,CHN
2020-08-07,351,"Shanghai, China",Friday,CHN
2020-08-10,463,"Shanghai, China",Monday,CHN
2020-08-11,446,"Shanghai, China",Tuesday,CHN
2020-08-12,431,"Shanghai, China",Wednesday,CHN
2020-08-13,412,"Shanghai, China",Thursday,CHN
2020-08-14,143,"Shanghai, China",Friday,CHN
2020-08-17,472,"Shanghai, China",Monday,CHN
2020-08-18,435,"Shanghai, China",Tuesday,CHN
2020-08-19,450,"Shanghai, China",Wednesday,CHN
2020-08-20,422,"Shanghai, China",Thursday,CHN
2020-08-21,325,"Shanghai, China",Friday,CHN
2020-08-24,448,"Shanghai, China",Monday,CHN
2020-08-25,126,"Shanghai, China",Tuesday,CHN
2020-08-26,402,"Shanghai, China",Wednesday,CHN
2020-08-27,433,"Shanghai, China",Thursday,CHN
2020-08-28,380,"Shanghai, China",Friday,CHN
2020-08-31,507,"Shanghai, China",Monday,CHN
2020-09-01,481,"Shanghai, China",Tuesday,CHN
2020-09-02,442,"Shanghai, China",Wednesday,CHN
2020-09-03,430,"Shanghai, China",Thursday,CHN
2020-09-04,26,"Shanghai, China",Friday,CHN
2020-09-07,498,"Shanghai, China",Monday,CHN
2020-09-08,492,"Shanghai, China",Tuesday,CHN
2020-09-09,470,"Shanghai, China",Wednesday,CHN
2020-09-10,429,"Shanghai, China",Thursday,CHN
2020-09-11,334,"Shanghai, China",Friday,CHN
2020-09-14,463,"Shanghai, China",Monday,CHN
2020-09-15,424,"Shanghai, China",Tuesday,CHN
2020-09-16,423,"Shanghai, China",Wednesday,CHN
2020-09-17,391,"Shanghai, China",Thursday,CHN
2020-09-18,338,"Shanghai, China",Friday,CHN
2020-09-21,468,"Shanghai, China",Monday,CHN
2020-09-22,400,"Shanghai, China",Tuesday,CHN
2020-09-23,434,"Shanghai, China",Wednesday,CHN
2020-09-24,404,"Shanghai, China",Thursday,CHN
2020-09-25,339,"Shanghai, China",Friday,CHN
2020-09-28,411,"Shanghai, China",Monday,CHN
2020-09-29,354,"Shanghai, China",Tuesday,CHN
2020-09-30,10,"Shanghai, China",Wednesday,CHN
